"","Transaction_ID","Transaction_Date","Customer_ID","Product_Category","Product_ID","Quantity","Unit_Price","Discount","Region","Sales_Channel","Delivery_Time","Total_Price","Price_per_Unit","Efficiency","Feature_Interaction","Cross_Term","ID_Prefix","ID_Length","ID_HasPattern","Discount_Level","Sales_Rank","Avg_Quantity_Region","Sum_Sales_Region","Count_Product_Region"
"1","7zmPHxF7XfN9","2021-07-14","BAl3Y7yxev","Clothing","P0370","2","15.18","0","North","Online","5","30.36","15.18","0.4","0","Clothing_North","P0","5","true","1","253","2.99290780141844","4864.940000000003","141"
"2","y4bCY9pKTBWU","2020-11-16","TYY0h5C190","Electronics","P0185","5","10.22","0.15","West","Offline","2","43.44","8.687999999999999","2.5","0.75","Electronics_West","P0","5","true","2","157","3.116666666666667","4169.719999999999","120"
"3","8k0B7XX19Ykf","2023-03-22","nUX640AaXg","Home","P0443","3","17.74","0.05","West","Online","8","50.56","16.85333333333334","0.375","0.15","Home_West","P0","5","true","1","121","3.116666666666667","4169.719999999999","120"
"4","l8ahQz5YNOKz","2023-01-02","sBZyUSJLEP","Home","P0035","6","28.3","0.22","North","Offline","8","132.44","22.07333333333333","0.75","1.32","Home_North","P0","5","true","3","4","2.99290780141844","4864.940000000003","141"
"5","kmufgw8wx5qk","2023-06-05","GMfVH2ZWNX","Groceries","P0375","3","11.91","0.13","North","Offline","7","31.09","10.36333333333333","0.4285714285714285","0.39","Groceries_North","P0","5","true","2","246","2.99290780141844","4864.940000000003","141"
"6","aI0KADT0mn7C","2023-03-15","YxqAmfTU9M","Clothing","P0447","1","5.43","0.07","North","Offline","9","5.05","5.05","0.1111111111111111","0.07","Clothing_North","P0","5","true","1","466","2.99290780141844","4864.940000000003","141"
"7","zu0iP1OBFuNI","2021-09-25","ifYw95qmoL","Groceries","P0345","2","13.37","0.3","West","Online","5","18.72","9.36","0.4","0.6","Groceries_West","P0","5","true","4","361","3.116666666666667","4169.719999999999","120"
"8","l0Bz1iXOUzUy","2020-02-18","F5zL0GjDJh","Clothing","P0193","5","6.56","0.23","South","Online","2","25.26","5.052","2.5","1.15","Clothing_South","P0","5","true","4","303","3.575221238938053","5036.29","113"
"9","kgU3mL1c8BdA","2023-02-25","Zm9ROmGygf","Clothing","P0114","4","18.23","0.27","South","Offline","3","53.23","13.3075","1.333333333333333","1.08","Clothing_South","P0","5","true","4","111","3.575221238938053","5036.29","113"
"10","MDp09wloF78Q","2023-08-19","fgldeSSYSL","Home","P0095","1","11.94","0.09","South","Online","9","10.87","10.87","0.1111111111111111","0.09","Home_South","P0","5","true","2","424","3.575221238938053","5036.29","113"
"11","M8Wk6MDt6qq1","2020-01-24","y5n7T2vCfd","Electronics","P0309","2","21.06","0.2","South","Offline","10","33.7","16.85","0.2","0.4","Electronics_South","P0","5","true","3","231","3.575221238938053","5036.29","113"
"12","lH96iSOc84fn","2020-12-21","SS9WdTh6Gp","Books","P0402","4","9.38","0.01","North","Online","6","37.14","9.285","0.6666666666666666","0.04","Books_North","P0","5","true","1","200","2.99290780141844","4864.940000000003","141"
"13","NnorQ5sHIoaf","2024-06-12","9l5PBRrmgl","Clothing","P0135","3","15.61","0.17","South","Online","8","38.87","12.95666666666667","0.375","0.51","Clothing_South","P0","5","true","3","183","3.575221238938053","5036.29","113"
"14","dEbUZoU5Sbu2","2020-06-13","A03t0cAGgC","Clothing","P0312","1","9.17","0.15","South","Offline","10","7.79","7.79","0.1","0.15","Clothing_South","P0","5","true","3","454","3.575221238938053","5036.29","113"
"15","o5Gqu5Y2GBZ4","2021-09-13","7hcyxq0KSE","Groceries","P0498","1","16.31","0.24","West","Online","1","12.4","12.4","1","0.24","Groceries_West","P0","5","true","4","412","3.116666666666667","4169.719999999999","120"
"16","RYXFAjCauCpJ","2024-04-04","A9pnVHddZb","Electronics","P0098","2","18.49","0.09","East","Offline","7","33.65","16.825","0.2857142857142857","0.18","Electronics_East","P0","5","true","2","233","2.936507936507936","4261.129999999999","126"
"17","BWBDxByvDM5r","2021-02-13","a4dbAEtGwn","Groceries","P0426","0","3.87","0.02","West","Offline","10","0","","0","0","Groceries_West","P0","5","true","1","475","3.116666666666667","4169.719999999999","120"
"18","zZahZAWUvSQ4","2022-06-17","R8Qx2GZT0X","Electronics","P0492","2","13.98","0.19","West","Offline","6","22.65","11.325","0.3333333333333333","0.38","Electronics_West","P0","5","true","3","326","3.116666666666667","4169.719999999999","120"
"19","vJPOga9LZlsj","2023-08-13","QT4CDiQyhV","Books","P0025","2","19.8","0.26","South","Offline","7","29.3","14.65","0.2857142857142857","0.52","Books_South","P0","5","true","4","267","3.575221238938053","5036.29","113"
"20","Q1t7z4pMOxXd","2021-08-23","v9KVPPPsJB","Groceries","P0286","0","12.19","0.28","North","Offline","7","0","","0","0","Groceries_North","P0","5","true","4","475","2.99290780141844","4864.940000000003","141"
"21","K6zf0MWYXYa3","2023-07-30","NOlqxawsS2","Groceries","P0046","3","19.68","0.01","East","Online","9","58.45","19.48333333333333","0.3333333333333333","0.03","Groceries_East","P0","5","true","1","95","2.936507936507936","4261.129999999999","126"
"22","3tapZKt4h3rp","2022-07-20","iEHE4Sh6dH","Groceries","P0065","3","13.27","0.05","North","Offline","5","37.82","12.60666666666667","0.6","0.15","Groceries_North","P0","5","true","1","192","2.99290780141844","4864.940000000003","141"
"23","AoRFZgbfFxvh","2022-09-23","w1Qj2Kba4S","Groceries","P0161","3","13.71","0.25","North","Offline","5","30.85","10.28333333333333","0.6","0.75","Groceries_North","P0","5","true","4","248","2.99290780141844","4864.940000000003","141"
"24","Gy3belkqpTAy","2021-09-12","8iJeK256qA","Electronics","P0489","1","14.41","0.01","East","Offline","7","14.27","14.27","0.1428571428571428","0.01","Electronics_East","P0","5","true","1","395","2.936507936507936","4261.129999999999","126"
"25","Ol5tnddtoUjm","2024-03-20","c2B1Cp6SdR","Clothing","P0310","2","22.96","0","East","Online","8","45.92","22.96","0.25","0","Clothing_East","P0","5","true","1","141","2.936507936507936","4261.129999999999","126"
"26","GiZt1ggZpIBA","2023-05-20","oNK8qhNcbT","Groceries","P0087","0","9.77","0.02","East","Offline","10","0","","0","0","Groceries_East","P0","5","true","1","475","2.936507936507936","4261.129999999999","126"
"27","173n85tjVH6q","2022-05-09","reDrX4hkKp","Electronics","P0232","2","13.83","0.3","East","Online","4","19.36","9.68","0.5","0.6","Electronics_East","P0","5","true","4","353","2.936507936507936","4261.129999999999","126"
"28","in0FOKrAM1uq","2020-09-15","YRePsho5Lb","Home","P0155","3","9.65","0","East","Online","7","28.95","9.65","0.4285714285714285","0","Home_East","P0","5","true","1","269","2.936507936507936","4261.129999999999","126"
"29","xc7v7YBzhFnN","2023-08-30","jXwfGVvV5N","Electronics","P0306","2","12.21","0.18","South","Offline","8","20.02","10.01","0.25","0.36","Electronics_South","P0","5","true","3","346","3.575221238938053","5036.29","113"
"30","s8ttrWpvZOBs","2021-04-25","BiYC2oc91b","Electronics","P0103","4","6.83","0.01","West","Offline","2","27.05","6.7625","2","0.04","Electronics_West","P0","5","true","1","286","3.116666666666667","4169.719999999999","120"
"31","Ewe9x9xe1QCc","2023-08-14","EXAzpV85tG","Clothing","P0306","6","12.85","0.24","East","Online","10","58.6","9.766666666666667","0.6","1.44","Clothing_East","P0","5","true","4","94","2.936507936507936","4261.129999999999","126"
"32","vZ8M37iAx3yU","2020-01-24","CDMnC5rG5p","Groceries","P0373","1","12.93","0.23","North","Online","8","9.96","9.96","0.125","0.23","Groceries_North","P0","5","true","4","431","2.99290780141844","4864.940000000003","141"
"33","hilsiFUk05mI","2023-03-27","lKpaLe5Ulg","Electronics","P0100","4","13.92","0.27","East","Offline","9","40.65","10.1625","0.4444444444444444","1.08","Electronics_East","P0","5","true","4","174","2.936507936507936","4261.129999999999","126"
"34","Leq4Gi3KtEZB","2020-10-25","ANBrFxA6wx","Books","P0446","2","6.08","0.23","South","Offline","6","9.36","4.68","0.3333333333333333","0.46","Books_South","P0","5","true","4","440","3.575221238938053","5036.29","113"
"35","zVodqgm9GGMG","2021-02-09","j3dfHyqO9O","Home","P0013","1","12.82","0.02","West","Online","2","12.56","12.56","0.5","0.02","Home_West","P0","5","true","1","409","3.116666666666667","4169.719999999999","120"
"36","rjqjiyAlxG5E","2020-11-09","Prr6AHVPDb","Clothing","P0318","4","3.82","0.09","North","Offline","4","13.9","3.475","1","0.36","Clothing_North","P0","5","true","2","399","2.99290780141844","4864.940000000003","141"
"37","KxzRhtpjeq9M","2024-07-29","L2TMQmpYjN","Home","P0151","8","23.23","0.06","West","Online","8","174.69","21.83625","1","0.48","Home_West","P0","5","true","1","1","3.116666666666667","4169.719999999999","120"
"38","H7Zf0nCfmxNW","2023-08-08","nZnAuRa6kv","Home","P0432","2","13.58","0.08","North","Online","2","24.99","12.495","1","0.16","Home_North","P0","5","true","2","308","2.99290780141844","4864.940000000003","141"
"39","O8ogIQjq4H6D","2022-04-15","McSZh1M6LV","Home","P0323","8","14.95","0.17","North","Offline","9","99.27","12.40875","0.8888888888888888","1.36","Home_North","P0","5","true","3","21","2.99290780141844","4864.940000000003","141"
"40","23X6P7v0Tkum","2022-09-08","bKwm5qJ8eQ","Home","P0235","3","14.26","0.11","North","Offline","3","38.07","12.69","1","0.33","Home_North","P0","5","true","2","190","2.99290780141844","4864.940000000003","141"
"41","yAJRegCnle8f","2020-05-25","cx4kEp8CTq","Electronics","P0367","5","10","0.06","North","Online","7","47","9.4","0.7142857142857143","0.3","Electronics_North","P0","5","true","1","137","2.99290780141844","4864.940000000003","141"
